"","DATE","CITY","VENUE","TICKETS","address","lat","lng"
"1","May 26","Kansas City, MO","Sprint Center","On Sale Now","Sprint Center, Kansas City, MO","39.0972997","-94.5799392"
"2","May 28","Louisville, KY","KFC Yum! Center","On Sale Now","KFC Yum! Center, Louisville, KY","38.2577834","-85.7538323"
"3","May 30","St. Louis, MO","Scottrade Center","On Sale Now","Scottrade Center, St. Louis, MO","38.6268402","-90.2026783"
"4","Jun 1","Tulsa, OK","BOK Center","On Sale Now","BOK Center, Tulsa, OK","36.152766","-95.996416"
"5","Jun 3","Denver, CO","Pepsi Center","On Sale Now","Pepsi Center, Denver, CO","39.74866","-105.00771"
"6","Jun 7","San Jose, CA","SAP Center at San Jose","On Sale Now","SAP Center at San Jose, San Jose, CA","37.3327303","-121.9012363"
"7","Jun 12","Sacramento, CA","Golden 1 Center","On Sale Now","Golden 1 Center, Sacramento, CA","38.5802621","-121.4996435"
"8","Jun 14","Phoenix, AZ","Gila River Arena","On Sale Now","Gila River Arena, Phoenix, AZ","33.5319368","-112.261187"
"9","Jun 16","Las Vegas, NV","T-Mobile Arena","On Sale Now","T-Mobile Arena, Las Vegas, NV","36.1029082","-115.1782124"
"10","Jun 20","Los Angeles, CA","STAPLES Center","On Sale Now","STAPLES Center, Los Angeles, CA","34.0430175","-118.2672541"
"11","Jun 21","Los Angeles, CA","STAPLES Center","On Sale Now","STAPLES Center, Los Angeles, CA","34.0430175","-118.2672541"
"12","Jun 24","Seattle, WA","Tacoma Dome","On Sale Now","Tacoma Dome, Seattle, WA","47.2366694","-122.4270299"
"13","Jul 3","Dallas, TX","American Airlines Center","On Sale Now","American Airlines Center, Dallas, TX","32.7904365","-96.8103281"
"14","Jul 6","Houston, TX","Toyota Center","On Sale Now","Toyota Center, Houston, TX","29.7507604","-95.3621005"
"15","Jul 11","Tampa, FL","Amalie Arena","On Sale Now","Amalie Arena, Tampa, FL","27.9427373","-82.4517771"
"16","Jul 13","Miami, FL","AmericanAirlines Arena","On Sale Now","AmericanAirlines Arena, Miami, FL","25.7814014","-80.186969"
"17","Jul 16","Atlanta, GA","Infinite Energy Arena","On Sale Now","Infinite Energy Arena, Atlanta, GA","33.9916226","-84.0939249"
"18","Jul 18","Greensboro, NC","Greensboro Coliseum","On Sale Now","Greensboro Coliseum, Greensboro, NC","36.059723","-79.82555"
"19","Jul 20","Columbus, OH","Nationwide Arena","On Sale Now","Nationwide Arena, Columbus, OH","39.9692575","-83.0059922"
"20","Jul 22","Chicago, IL","United Center","On Sale Now","United Center, Chicago, IL","41.8806908","-87.6741759"
"21","Jul 23","Chicago, IL","United Center","On Sale Now","United Center, Chicago, IL","41.8806908","-87.6741759"
"22","Jul 26","St. Paul, MN","Xcel Energy Center","On Sale Now","Xcel Energy Center, St. Paul, MN","44.9448954","-93.1007264"
"23","Aug 2","Detroit, MI","The Palace of Auburn Hills","On Sale Now","The Palace of Auburn Hills, Detroit, MI","42.696885","-83.2457929"
"24","Aug 4","Washington, DC","Verizon Center","On Sale Now","Verizon Center, Washington, DC","38.8981251","-77.0208804"
"25","Aug 8","Philadelphia, PA","Wells Fargo Center","On Sale Now","Wells Fargo Center, Philadelphia, PA","39.9012015","-75.1719795"
"26","Aug 9","Philadelphia, PA","Wells Fargo Center","On Sale Now","Wells Fargo Center, Philadelphia, PA","39.9012015","-75.1719795"
"27","Sep 7","Newark, NJ","Prudential Center","On Sale Now","Prudential Center, Newark, NJ","40.7336167","-74.17115"
"28","Sep 11","Brooklyn, NY","Barclays Center","On Sale Now","Barclays Center, Brooklyn, NY","40.6824952","-73.9750349"
"29","Sep 12","Brooklyn, NY","Barclays Center","On Sale Now","Barclays Center, Brooklyn, NY","40.6824952","-73.9750349"
"30","Sep 15","Uniondale, NY","The New Coliseum","On Sale Now","The New Coliseum, Uniondale, NY","40.7228897","-73.5906891"
"31","Sep 16","Uniondale, NY","The New Coliseum","On Sale Now","The New Coliseum, Uniondale, NY","40.7228897","-73.5906891"
"32","Sep 19","Pittsburgh, PA","PPG Paints Arena","On Sale Now","PPG Paints Arena, Pittsburgh, PA","40.4395932","-79.9893378"
"33","Sep 27","Boston, MA","TD Garden","On Sale Now","TD Garden, Boston, MA","42.366198","-71.062146"
"34","Sep 28","Boston, MA","TD Garden","On Sale Now","TD Garden, Boston, MA","42.366198","-71.062146"
"35","Oct 2","Toronto, ON","Air Canada Centre","On Sale Now","Air Canada Centre, Toronto, ON","43.6434661","-79.3790989"
"36","Oct 3","Toronto, ON","Air Canada Centre","On Sale Now","Air Canada Centre, Toronto, ON","43.6434661","-79.3790989"
"37","Oct 6","Quebec City, QC","Videotron Centre","On Sale Now","Videotron Centre, Quebec City, QC","46.8290234","-71.2482915"
"38","Oct 7","Quebec City, QC","Videotron Centre","On Sale Nov. 4 at noon","Videotron Centre, Quebec City, QC","46.8290234","-71.2482915"
"39","Oct 10","Ottawa, ON","Canadian Tire Centre","On Sale Now","Canadian Tire Centre, Ottawa, ON","45.2969151","-75.926823"
"40","Oct 16","Montreal, QC","Bell Centre","On Sale Now","Bell Centre, Montreal, QC","45.4960667","-73.5693153"
"41","Oct 17","Montreal, QC","Bell Centre","On Sale Now(English/French)","Bell Centre, Montreal, QC","45.4960667","-73.5693153"
"42","Oct 24","Edmonton, AB","Rogers Place","On Sale Now","Rogers Place, Edmonton, AB","53.5469822","-113.4977818"
"43","Oct 28","Vancouver, BC","Rogers Arena","On Sale Now","Rogers Arena, Vancouver, BC","49.2778358","-123.1088227"
